url,place,time,description,sources,id,place.name,place.org.type,place.org.dirName,place.org.events,place.org.id,place.org.places,place.org.kind,place.org.parent,place.place,place.org,place.place.id,place.place.events,place.place.locations,place.place.elevation,place.place.dirName,place.org.parent.type,place.org.parent.dirName,place.org.parent.events,place.org.parent.id,place.org.parent.places,place.org.parent.kind,place.org.parent.parent.type,place.org.parent.parent.dirName,place.org.parent.parent.events,place.org.parent.parent.id,place.org.parent.parent.places,place.org.parent.parent.kind,place.org.parent.parent.parent.type,place.org.parent.parent.parent.dirName,place.org.parent.parent.parent.events,place.org.parent.parent.parent.id,place.org.parent.parent.parent.places,place.org.parent.parent.parent.kind,place.org.parent.parent.parent.parent,place.org.parent.parent.parent,place.org.parent.parent
https://rr0.org/time/1/9/9/4/01/index.html#1994-01-04T23:50,Fleury-sur-Andelle (Eure),,,"","",,,1994-01-04T23:50,"le , 1 homme qui regarde la télévision observe dehors une lumière orange semblant faire des va-et-vient. En s'approchant, le témoin observe une forme conique lumineuse tournant autour de son axe et comportant sur son pourtour des rayures de différentes couleurs. La forme reste stationnaire et s'éloigne tout à coup très rapidement pour ne devenir qu'un point lumineux avant de revenir doucement vers la maison. Le témoin à l'impression de se sentir observé, prend peur et va se cacher sous ses couvertures dans sa chambre dans le noir. Le phénomène est toujours là, le témoin entend alors un bruit au sol à l'extérieur et perçoit plusieurs flash réguliers. A ce moment sa petite chienne prend également peur et se réfugie sous la couverture. Le témoin ressent alors des contractions musculaires dans les jambes et dans le bas du dos. L'ensemble de l'observation a duré plusieurs mn, l'épisode de la chambre étant lui-même évalué à 3 à 4 mn. Le témoin a été très choqué par son expérience qui n'a reçu aucune explication.",""""",,s1,""SEPRA"",,,""""",1994-01-04T23:50
https://rr0.org/time/1/9/9/4/01/index.html#1994-01-09T19:30,Nouzonville (Ardennes),,,"","",,,1994-01-09T19:30,"le , 1 jeune femme et son ami en voiture observent une forme rectangulaire lumineuse dans le ciel. Ayant arrêté leur véhicule, ils observent cette forme qui est éclairée de lumières blanches et rouges. L'ayant perdu de vue ils remontent en voiture pour trouver un meilleur point d'observation. De nouveau arrêtée la jeune femme voit alors une forme ovoïde avec les mêmes lumières rouges et blanches qui semble venir dans sa direction. Elle prend peur et demande à son compagnon, qui n'a pas vu cette dernière observation, de repartir au plus vite.",""""",,s2,""SEPRA"",,,""""",1994-01-09T19:30
https://rr0.org/time/1/9/9/4/01/index.html#1994-01-10T05:00,Hautbourdin (Nord),,,"","",,,1994-01-10T05:00,"le , un couple observe depuis leur domicile une forme ovale lumineuse qui effectue des va-et-vient en hauteur sans jamais toucher le sol. Un sifflement est également perçu (L'enquête montrera qu'il s'agit vraisemblablement d'un projecteur laser publicitaire en essai dans une discothèque des environs. Le phénomène a d'ailleurs été observé dans plusieurs communes avoisinantes dont les témoins avaient été avertis des essais du projecteur).",""""",,s3,""SEPRA"",,,""""",1994-01-10T05:00
https://rr0.org/time/1/9/9/4/01/index.html#1994-01-14,,1994-01-14,le Article du Washington Post annonçant l'intention de Steven Schiff de demander au GAO de faire la lumière sur l'affaire de Roswell et la "dissimulation" qui s'en serait suivie.,"",1994-01-14
https://rr0.org/time/1/9/9/4/01/index.html#1994-01-25,,1994-01-25,le Lancement de la sonde Clementine (cartographie de la Lune).,"",1994-01-25
https://rr0.org/time/1/9/9/4/01/index.html#1994-01-28T13:12,Coulommiers (Seine-et-Marne),,,"","",,,1994-01-28T13:12,"le Dans la région de , observation de l'équipage du vol AF 3532. A Taverny (Val d'Oise) les radars repèrent des intrus dans le ciel à proximité du PC nucléaire français (base aérienne).",""""",Gazette du Val d'Oise,s4,"""",,1997-07-16,""""",1994-01-28T13:12
